%5|1780373858.439|REQTMOUT|rdkafka#producer-1| [thrd:localhost:9092/bootstrap]: localhost:9092/bootstrap: Timed out ApiVersionRequest in flight (after 10097ms, timeout #0)
%4|1780373858.481|FAIL|rdkafka#producer-1| [thrd:localhost:9092/bootstrap]: localhost:9092/bootstrap: ApiVersionRequest failed: Local: Timed out: probably due to broker version < 0.10 (see api.version.request configuration) (after 10139ms in state APIVERSION_QUERY)
%4|1780373858.553|REQTMOUT|rdkafka#producer-1| [thrd:localhost:9092/bootstrap]: localhost:9092/bootstrap: Timed out 1 in-flight, 0 retry-queued, 0 out-queue, 0 partially-sent requests
2026-06-02 09:17:41,468 INFO infrastructure.postgres_client PostgresClient initialised \u2192 localhost:5432/soc_pipeline  pool=10–128
2026-06-02 09:17:41,546 INFO __main__ [Pipeline] Starting 16 consumer workers \u2192 topic=wazuh.raw concurrency=32
2026-06-02 09:17:41,584 INFO infrastructure.kafka_client KafkaConsumerClient subscribed \u2192 ['wazuh.raw']
2026-06-02 09:17:41,644 INFO __main__ [Pipeline] Consumer worker 0 started
2026-06-02 09:17:41,767 INFO infrastructure.kafka_client KafkaConsumerClient subscribed \u2192 ['wazuh.raw']
2026-06-02 09:17:41,849 INFO __main__ [Pipeline] Consumer worker 1 started
2026-06-02 09:17:41,930 INFO infrastructure.kafka_client KafkaConsumerClient subscribed \u2192 ['wazuh.raw']
2026-06-02 09:17:41,940 INFO __main__ [Pipeline] Consumer worker 2 started
2026-06-02 09:17:41,988 INFO infrastructure.kafka_client KafkaConsumerClient subscribed \u2192 ['wazuh.raw']
2026-06-02 09:17:42,051 INFO __main__ [Pipeline] Consumer worker 3 started
2026-06-02 09:17:42,091 INFO infrastructure.kafka_client KafkaConsumerClient subscribed \u2192 ['wazuh.raw']
2026-06-02 09:17:42,139 INFO __main__ [Pipeline] Consumer worker 4 started
2026-06-02 09:17:42,230 INFO infrastructure.kafka_client KafkaConsumerClient subscribed \u2192 ['wazuh.raw']
2026-06-02 09:17:42,284 INFO __main__ [Pipeline] Consumer worker 5 started
2026-06-02 09:17:42,372 INFO infrastructure.kafka_client KafkaConsumerClient subscribed \u2192 ['wazuh.raw']
2026-06-02 09:17:42,446 INFO __main__ [Pipeline] Consumer worker 6 started
2026-06-02 09:17:42,540 INFO infrastructure.kafka_client KafkaConsumerClient subscribed \u2192 ['wazuh.raw']
2026-06-02 09:17:42,547 INFO __main__ [Pipeline] Consumer worker 7 started
2026-06-02 09:17:42,620 INFO infrastructure.kafka_client KafkaConsumerClient subscribed \u2192 ['wazuh.raw']
2026-06-02 09:17:42,709 INFO __main__ [Pipeline] Consumer worker 8 started
2026-06-02 09:17:42,810 INFO infrastructure.kafka_client KafkaConsumerClient subscribed \u2192 ['wazuh.raw']
2026-06-02 09:17:42,899 INFO __main__ [Pipeline] Consumer worker 9 started
2026-06-02 09:17:43,005 INFO infrastructure.kafka_client KafkaConsumerClient subscribed \u2192 ['wazuh.raw']
2026-06-02 09:17:43,159 INFO __main__ [Pipeline] Consumer worker 10 started
2026-06-02 09:17:43,179 INFO infrastructure.kafka_client KafkaConsumerClient subscribed \u2192 ['wazuh.raw']
2026-06-02 09:17:43,239 INFO __main__ [Pipeline] Consumer worker 11 started
2026-06-02 09:17:43,454 INFO infrastructure.kafka_client KafkaConsumerClient subscribed \u2192 ['wazuh.raw']
2026-06-02 09:17:43,586 INFO __main__ [Pipeline] Consumer worker 12 started
2026-06-02 09:17:43,864 INFO infrastructure.kafka_client KafkaConsumerClient subscribed \u2192 ['wazuh.raw']
2026-06-02 09:17:43,954 INFO __main__ [Pipeline] Consumer worker 13 started
2026-06-02 09:17:44,032 INFO infrastructure.kafka_client KafkaConsumerClient subscribed \u2192 ['wazuh.raw']
2026-06-02 09:17:44,116 INFO __main__ [Pipeline] Consumer worker 14 started
2026-06-02 09:17:44,232 INFO infrastructure.kafka_client KafkaConsumerClient subscribed \u2192 ['wazuh.raw']
2026-06-02 09:17:44,351 INFO __main__ [Pipeline] Consumer worker 15 started
%5|1780373871.872|REQTMOUT|rdkafka#consumer-3| [thrd:localhost:9092/bootstrap]: localhost:9092/bootstrap: Timed out ApiVersionRequest in flight (after 10104ms, timeout #0)
